DEPARTAMENTO,FORMA,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Cesar,CES,"2362,4","236,24","236,24","236,24","236,24","236,24","236,24","236,24","236,24","236,24","236,24","2825,8","2825,8","2825,8","2825,8","2825,8","2724,2","2724,2","2724,2","2724,2","2724,2",638,638,1110,786,448,1576,378,353,444,324
Chocó,CHO,"5683,7","568,37","568,37","568,37","568,37","568,37","568,37","568,37","568,37","568,37","568,37","11368,2","11368,2","11368,2","11368,2","11368,2","20971,4","20971,4","20971,4","20971,4","20971,4",3350,3350,2874,10353,5813,24025,10046,4946,11457,8485
Córdoba,COR,4172,"417,2","417,2","417,2","417,2","417,2","417,2","417,2","417,2","417,2","417,2","2782,4","2782,4","2782,4","2782,4","2782,4","4260,6","4260,6","4260,6","4260,6","4260,6",603,603,1743,2734,1937,2387,2122,1422,1762,2029
Cundinamarca,CUN,2456,"245,6","245,6","245,6","245,6","245,6","245,6","245,6","245,6","245,6","245,6","8615,2","8615,2","8615,2","8615,2","8615,2","5885,2","5885,2","5885,2","5885,2","5885,2","649,5","649,5",332,191,489,437,373,307,241,69
Guainía,GUA,"6438,5","643,85","643,85","643,85","643,85","643,85","643,85","643,85","643,85","643,85","643,85",4375,4375,4375,4375,4375,"3398,8","3398,8","3398,8","3398,8","3398,8","2463,5","2463,5",1863,1300,1340,2752,847,2350,1433,1656
Guaviare,GUV,"17963,9","1796,39","1796,39","1796,39","1796,39","1796,39","1796,39","1796,39","1796,39","1796,39","1796,39","15681,6","15681,6","15681,6","15681,6","15681,6","13051,8","13051,8","13051,8","13051,8","13051,8","20979,5","20979,5",10569,6892,9634,11456,38221,34527,24220,25553
Huila,HUI,"5356,2","535,62","535,62","535,62","535,62","535,62","535,62","535,62","535,62","535,62","535,62","12087,6","12087,6","12087,6","12087,6","12087,6","9080,8","9080,8","9080,8","9080,8","9080,8","3431,5","3431,5",936,386,686,354,202,506,187,135
La Guajira,LAG,"2107,2","210,72","210,72","210,72","210,72","210,72","210,72","210,72","210,72","210,72","210,72","4815,4","4815,4","4815,4","4815,4","4815,4",1959,1959,1959,1959,1959,"1340,5","1340,5",1564,651,205,290,287,601,550,501
Magdalena,MAG,"4416,8","441,68","441,68","441,68","441,68","441,68","441,68","441,68","441,68","441,68","441,68","6461,6","6461,6","6461,6","6461,6","6461,6","4405,6","4405,6","4405,6","4405,6","4405,6","1065,5","1065,5",1060,1427,1280,1378,666,525,581,761
Meta,MET,"38287,3","3828,73","3828,73","3828,73","3828,73","3828,73","3828,73","3828,73","3828,73","3828,73","3828,73","39453,6","39453,6","39453,6","39453,6","39453,6","29557,8","29557,8","29557,8","29557,8","29557,8",27013,27013,20126,13727,15369,22925,36748,44712,29061,35556
Nariño,NAR,13397,"1339,7","1339,7","1339,7","1339,7","1339,7","1339,7","1339,7","1339,7","1339,7","1339,7","27306,6","27306,6","27306,6","27306,6","27306,6","9690,6","9690,6","9690,6","9690,6","9690,6",1062,1062,2474,4178,7432,7765,5048,2833,3461,4911
Norte de Santander,NSA,"12554,4","1255,44","1255,44","1255,44","1255,44","1255,44","1255,44","1255,44","1255,44","1255,44","1255,44","12355,6","12355,6","12355,6","12355,6","12355,6","8683,4","8683,4","8683,4","8683,4","8683,4","5856,5","5856,5",4084,8283,6819,14764,4092,7362,9910,9248
Putumayo,PUT,"22018,4","2201,84","2201,84","2201,84","2201,84","2201,84","2201,84","2201,84","2201,84","2201,84","2201,84","12720,2","12720,2","12720,2","12720,2","12720,2","9479,6","9479,6","9479,6","9479,6","9479,6",9733,9733,10720,11106,9214,11117,13070,13903,10759,13141
Quindío,QUI,"934,7","93,47","93,47","93,47","93,47","93,47","93,47","93,47","93,47","93,47","93,47","847,4","847,4","847,4","847,4","847,4","906,4","906,4","906,4","906,4","906,4","160,5","160,5",43,50,0,108,79,25,2,53
Risaralda,RIS,"549,1","54,91","54,91","54,91","54,91","54,91","54,91","54,91","54,91","54,91","54,91","1067,6","1067,6","1067,6","1067,6","1067,6","1430,4","1430,4","1430,4","1430,4","1430,4","113,5","113,5",88,413,58,166,326,43,50,39
Santander,SAN,8744,"874,4","874,4","874,4","874,4","874,4","874,4","874,4","874,4","874,4","874,4","17449,2","17449,2","17449,2","17449,2","17449,2","18764,2","18764,2","18764,2","18764,2","18764,2",10502,10502,2955,4110,3584,4992,5336,2713,2744,2597
"San Andrés Providencia
y Santa Catalina",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121
Sucre,SUC,"2629,8","262,98","262,98","262,98","262,98","262,98","262,98","262,98","262,98","262,98","262,98","4320,8","4320,8","4320,8","4320,8","4320,8","1954,4","1954,4","1954,4","1954,4","1954,4","458,5","458,5",366,440,245,492,199,90,236,268
Tolima,TOL,5327,"532,7","532,7","532,7","532,7","532,7","532,7","532,7","532,7","532,7","532,7","10661,4","10661,4","10661,4","10661,4","10661,4","8276,6","8276,6","8276,6","8276,6","8276,6","1560,5","1560,5",233,295,571,677,419,265,268,191
Valle del Cauca,VAC,"4400,7","440,07","440,07","440,07","440,07","440,07","440,07","440,07","440,07","440,07","440,07",3458,3458,3458,3458,3458,"5245,2","5245,2","5245,2","5245,2","5245,2",1044,1044,611,1105,629,1108,510,341,204,541
Vaupés,VAU,"3444,4","344,44","344,44","344,44","344,44","344,44","344,44","344,44","344,44","344,44","344,44","3906,2","3906,2","3906,2","3906,2","3906,2","2298,8","2298,8","2298,8","2298,8","2298,8",3590,3590,1154,1967,1116,1949,2288,1123,2059,1656
Vichada,VID,"10753,9","1075,39","1075,39","1075,39","1075,39","1075,39","1075,39","1075,39","1075,39","1075,39","1075,39",11096,11096,11096,11096,11096,"9976,2","9976,2","9976,2","9976,2","9976,2",4071,4071,2661,2589,2690,3565,3900,6745,5587,5095
