DEPARTAMENTO,FORMA,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,COD_DPTO,COUNT,latitude,longitude
MAGDALENA,MAG,"4416,8","441,68","441,68","441,68","441,68","441,68","441,68","441,68","441,68","441,68","441,68","6461,6","6461,6","6461,6","6461,6","6461,6","4405,6","4405,6","4405,6","4405,6","4405,6","1065,5","1065,5",1060,1427,1280,1378,666,525,581,761,47,912,11.327699661651142,-74.09179687546849
META,MET,"38287,3","3828,73","3828,73","3828,73","3828,73","3828,73","3828,73","3828,73","3828,73","3828,73","3828,73","39453,6","39453,6","39453,6","39453,6","39453,6","29557,8","29557,8","29557,8","29557,8","29557,8",27013,27013,20126,13727,15369,22925,36748,44712,29061,35556,50,969,4.444900036504388,-71.07990264934175
NARIÑO,NAR,13397,"1339,7","1339,7","1339,7","1339,7","1339,7","1339,7","1339,7","1339,7","1339,7","1339,7","27306,6","27306,6","27306,6","27306,6","27306,6","9690,6","9690,6","9690,6","9690,6","9690,6",1062,1062,2474,4178,7432,7765,5048,2833,3461,4911,52,1417,2.577399968856929,-77.98359680174944
NORTE DE SANTANDER,NSA,"12554,4","1255,44","1255,44","1255,44","1255,44","1255,44","1255,44","1255,44","1255,44","1255,44","1255,44","12355,6","12355,6","12355,6","12355,6","12355,6","8683,4","8683,4","8683,4","8683,4","8683,4","5856,5","5856,5",4084,8283,6819,14764,4092,7362,9910,9248,54,1298,9.133999824650305,-73.01779937758918
PUTUMAYO,PUT,"22018,4","2201,84","2201,84","2201,84","2201,84","2201,84","2201,84","2201,84","2201,84","2201,84","2201,84","12720,2","12720,2","12720,2","12720,2","12720,2","9479,6","9479,6","9479,6","9479,6","9479,6",9733,9733,10720,11106,9214,11117,13070,13903,10759,13141,86,904,1.316400051336731,-76.5781021113318
QUINDIO,QUI,"934,7","93,47","93,47","93,47","93,47","93,47","93,47","93,47","93,47","93,47","93,47","847,4","847,4","847,4","847,4","847,4","906,4","906,4","906,4","906,4","906,4","160,5","160,5",43,50,0,108,79,25,2,53,63,1151,4.6946001052791,-75.67209625250217
RISARALDA,RIS,"549,1","54,91","54,91","54,91","54,91","54,91","54,91","54,91","54,91","54,91","54,91","1067,6","1067,6","1067,6","1067,6","1067,6","1430,4","1430,4","1430,4","1430,4","1430,4","113,5","113,5",88,413,58,166,326,43,50,39,66,522,5.475137710532927,-75.88650512699282
SANTANDER,SAN,8744,"874,4","874,4","874,4","874,4","874,4","874,4","874,4","874,4","874,4","874,4","17449,2","17449,2","17449,2","17449,2","17449,2","18764,2","18764,2","18764,2","18764,2","18764,2",10502,10502,2955,4110,3584,4992,5336,2713,2744,2597,68,1282,8.115025520797857,-73.80014038063058
ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,88,1447,12.594562811518577,-81.7129569648294
SUCRE,SUC,"2629,8","262,98","262,98","262,98","262,98","262,98","262,98","262,98","262,98","262,98","262,98","4320,8","4320,8","4320,8","4320,8","4320,8","1954,4","1954,4","1954,4","1954,4","1954,4","458,5","458,5",366,440,245,492,199,90,236,268,70,1123,9.884900093188929,-75.48310089143973
TOLIMA,TOL,5327,"532,7","532,7","532,7","532,7","532,7","532,7","532,7","532,7","532,7","532,7","10661,4","10661,4","10661,4","10661,4","10661,4","8276,6","8276,6","8276,6","8276,6","8276,6","1560,5","1560,5",233,295,571,677,419,265,268,191,73,1841,5.281400203572112,-74.83999633732553
VALLE DEL CAUCA,VAC,"4400,7","440,07","440,07","440,07","440,07","440,07","440,07","440,07","440,07","440,07","440,07",3458,3458,3458,3458,3458,"5245,2","5245,2","5245,2","5245,2","5245,2",1044,1044,611,1105,629,1108,510,341,204,541,76,768,4.973599910846018,-76.08380126921747
VAUPES,VAU,"3444,4","344,44","344,44","344,44","344,44","344,44","344,44","344,44","344,44","344,44","344,44","3906,2","3906,2","3906,2","3906,2","3906,2","2298,8","2298,8","2298,8","2298,8","2298,8",3590,3590,1154,1967,1116,1949,2288,1123,2059,1656,97,1076,1.985299944430301,-70.11299896201248
VICHADA,VID,"10753,9","1075,39","1075,39","1075,39","1075,39","1075,39","1075,39","1075,39","1075,39","1075,39","1075,39",11096,11096,11096,11096,11096,"9976,2","9976,2","9976,2","9976,2","9976,2",4071,4071,2661,2589,2690,3565,3900,6745,5587,5095,99,525,6.279500008217281,-67.79689789011788
