0,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,COD_DPTO,DEPARTAMENTO,COUNT,latitude,longitude
NORTE DE SANTANDER,38,48,60,72,87,128,177,200,271,344,448,564,729,938,1175,1480,1760,2117,2463,2816,3108,3402,3876,4270,4703,5098,5987,6756,7712,8302,8698,9408,9897,10747,11643,12534,13811,14445,15443,16289,15740,54,NORTE DE SANTANDER,1298,9.133999825,-73.01779938
QUINDIO,38,35,46,50,61,80,115,138,180,204,263,381,455,553,776,975,1066,1425,1603,1672,1794,2000,2071,2199,2388,2750,3255,3549,3834,4018,4281,4767,5242,5460,5720,6381,7133,7633,7951,8533,8245,63,QUINDIO,1151,4.694600105,-75.67209625
RISARALDA,39,45,59,74,89,122,170,210,288,377,470,628,787,1046,1313,1647,1923,2358,2762,2824,3081,3413,3654,4139,4757,5512,6342,6852,7438,7969,8420,8980,9629,10613,11728,12656,13891,14922,15877,17078,16501,66,RISARALDA,522,5.475137711,-75.88650513
SANTANDER,96,128,168,198,248,317,440,592,734,962,1262,1561,2047,2655,3462,4317,5637,6715,7588,8628,9747,10986,12000,13780,15876,18733,21572,24620,28389,28494,32726,37784,40283,43409,50858,51999,55182,59463,63776,69125,61971,68,SANTANDER,1282,8.115025521,-73.80014038
SUCRE,15,19,25,31,37,49,66,81,109,140,176,208,298,402,541,678,836,1000,1171,1250,1391,1550,1673,1828,2140,2386,2758,3161,3486,3879,4011,4473,4994,5480,6089,6577,7186,7702,8123,8697,8372,70,SUCRE,1123,9.884900093,-75.48310089
TOLIMA,56,71,82,100,127,163,230,294,392,505,658,882,1141,1469,1884,2293,2864,3630,4098,4248,4662,5168,5558,6028,6784,7702,8763,10047,11345,11432,11965,13518,14387,15275,16560,17381,18863,19988,21002,22526,21522,73,TOLIMA,1841,5.281400204,-74.83999634
VALLE DEL CAUCA,289,356,438,538,670,856,1141,1394,1884,2402,3073,4023,5222,6886,8769,11266,13558,16022,18822,20330,22582,24916,26770,29377,32444,34639,39675,45059,48319,51607,54213,58465,62545,66719,72279,78074,85102,89766,95894,103173,99700,76,VALLE DEL CAUCA,768,4.973599911,-76.08380127
NUEVOS DEPARTAMENTOS,49,63,89,111,133,181,284,477,564,822,1321,1552,1828,2024,2240,3178,4345,4893,5731,9258,11694,9590,9673,11174,12494,14088,15400,15971,19853,18745,20891,26742,28182,29961,29437,24914,22992,25230,28985,30793,26236,,,,,
ARAUCA,49,63,89,111,133,181,284,477,564,822,1321,1552,1828,2024,2240,3178,4345,4893,5731,9258,11694,9590,9673,11174,12494,14088,15400,15971,19853,18745,20891,26742,28182,29961,29437,24914,22992,25230,28985,30793,26236,81,ARAUCA,571,7.059299945,-70.69869995
CASANARE,49,63,89,111,133,181,284,477,564,822,1321,1552,1828,2024,2240,3178,4345,4893,5731,9258,11694,9590,9673,11174,12494,14088,15400,15971,19853,18745,20891,26742,28182,29961,29437,24914,22992,25230,28985,30793,26236,85,CASANARE,1084,6.247900009,-70.17250061
PUTUMAYO,49,63,89,111,133,181,284,477,564,822,1321,1552,1828,2024,2240,3178,4345,4893,5731,9258,11694,9590,9673,11174,12494,14088,15400,15971,19853,18745,20891,26742,28182,29961,29437,24914,22992,25230,28985,30793,26236,86,PUTUMAYO,904,1.316400051,-76.57810211
AMAZONAS,49,63,89,111,133,181,284,477,564,822,1321,1552,1828,2024,2240,3178,4345,4893,5731,9258,11694,9590,9673,11174,12494,14088,15400,15971,19853,18745,20891,26742,28182,29961,29437,24914,22992,25230,28985,30793,26236,91,AMAZONAS,998,0.118600002,-71.38639832
GUAINIA,49,63,89,111,133,181,284,477,564,822,1321,1552,1828,2024,2240,3178,4345,4893,5731,9258,11694,9590,9673,11174,12494,14088,15400,15971,19853,18745,20891,26742,28182,29961,29437,24914,22992,25230,28985,30793,26236,94,GUAINIA,1065,3.860500096,-67.68779755
GUAVIARE,49,63,89,111,133,181,284,477,564,822,1321,1552,1828,2024,2240,3178,4345,4893,5731,9258,11694,9590,9673,11174,12494,14088,15400,15971,19853,18745,20891,26742,28182,29961,29437,24914,22992,25230,28985,30793,26236,95,GUAVIARE,572,2.837500096,-71.26460266
VAUPES,49,63,89,111,133,181,284,477,564,822,1321,1552,1828,2024,2240,3178,4345,4893,5731,9258,11694,9590,9673,11174,12494,14088,15400,15971,19853,18745,20891,26742,28182,29961,29437,24914,22992,25230,28985,30793,26236,97,VAUPES,1076,1.985299944,-70.11299896
VICHADA,49,63,89,111,133,181,284,477,564,822,1321,1552,1828,2024,2240,3178,4345,4893,5731,9258,11694,9590,9673,11174,12494,14088,15400,15971,19853,18745,20891,26742,28182,29961,29437,24914,22992,25230,28985,30793,26236,99,VICHADA,525,6.279500008,-67.79689789
ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,49,63,89,111,133,181,284,477,564,822,1321,1552,1828,2024,2240,3178,4345,4893,5731,9258,11694,9590,9673,11174,12494,14088,15400,15971,19853,18745,20891,26742,28182,29961,29437,24914,22992,25230,28985,30793,26236,88,ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,1447,12.59456281,-81.71295696
