Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
CO2 emissions from liquid fuel consumption (% of total),EN.ATM.CO2E.LF.ZS,Colombia,COL,48.3798882681564,50.5233494363929,48.9437947944172,49.2841124719683,50.5236486486486,48.9825348501843,52.3638633172102,49.9109792284866,53.7422467263956,51.8891358347496,61.1799638523109,59.7581620314389,59.0914385556203,58.1175190424374,59.5597104945718,57.1968536111962,57.3312794839703,57.2213939619829,54.1127826163456,53.1897334323677,53.9351851851852,51.8063345430551,51.2978196629662,51.0641453466815,50.3481320655836,51.6940801940423,53.2710978342046,53.4209761766415,53.9644804922388,55.2800165323414,63.7259455587392,63.3133867141162,67.0548956962977,64.6556920043026,70.1623232323232,53.8749729089062,55.4006745964316,54.7656848561095,55.2138399126229,54.4438249507786,50.4133768464445,48.7806181693989,50.940303030303,52.9626865405212,52.5590288153682,53.4694318770506,58.9057934857935,57.9074995776314,56.80183,56.8047188691232,55.2374474335189,50.5910670862538,55.4093142694551,58.5098393109654,53.1168303683287,54.2515068493151,58.7350429799427,..,..,..,..,..
CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,Colombia,COL,7939.055,9204.17,9515.865,10476.619,10967.997,11210.019,12306.452,12335.788,14297.633,14554.323,17377.913,18122.314,18602.691,19585.447,21726.975,20531.533,21836.985,22519.047,22555.717,23633.815,23923.508,23032.427,23553.141,25250.962,24660.575,25008.94,26156.711,26970.785,28301.906,29427.675,31136.497,32023.911,35679.91,36064.945,39592.599,31818.559,32603.297,34825.499,35386.55,30417.765,29350.668,28565.93,28745.613,29669.697,29548.686,30964.148,34000.424,34275.449,34081.098,35764.251,35727.581,35368.215,38947.207,45514.804,42397.854,43959.996,49196.472,..,..,..,..,..
CO2 emissions from manufacturing industries and construction (% of total fuel combustion),EN.CO2.MANF.ZS,Colombia,COL,..,..,..,..,..,..,..,..,..,..,..,32.0209973753281,30.6734992679356,30.1116538729937,32.878935410581,30.4347826086956,30.7461692205197,33.1721470019342,31.5661920630112,29.5774647887324,28.2471264367816,28.0847409103922,26.0918568610876,25.9635974304068,25.8004763164858,25.6143906764631,25.9711155378486,26.4961276695611,24.744661095636,25.5855453937096,26.3215377894277,26.4099326599327,26.1274014155713,27.431421446384,29.2313590185931,27.5482093663912,28.8447387785136,27.9531568228106,25.6319514661274,27.4370313401269,28.7797673989293,28.2079443529196,29.4420110455151,27.1219135802469,26.0150086588416,26.6193765167071,24.3616029822926,24.6165084002922,27.418194893923,21.7177706251059,22.4049161268892,25.5543661110261,20.5029903389051,19.4581628333568,18.3310344827586,..,..,..,..,..,..,..
"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)",EN.CO2.OTHX.ZS,Colombia,COL,..,..,..,..,..,..,..,..,..,..,..,8.66141732283465,10.212298682284,9.52547103977669,7.88704965920156,8.0593849416755,7.52831445702865,4.86782720825274,3.05967888518631,3.11657177105184,5.57471264367816,3.32092756942456,3.97295012679628,3.26552462526767,2.80497486107436,2.78692677983278,2.61454183266932,5.02229523586013,4.2711234911792,4.2159268347089,3.14547837483617,2.77777777777778,2.42669362992922,2.83905620563975,7.36055204140311,2.47933884297521,2.77777777777778,2.59674134419552,2.56150994270307,2.61488175350894,2.71367915820565,2.70913417536152,2.81851075985527,2.95138888888889,2.59765249182221,2.44539854396117,2.66542404473439,2.7027027027027,3.09241280115067,4.40454006437405,4.58395615346288,5.1536932252638,5.56663088483362,5.06561309439819,5.6551724137931,..,..,..,..,..,..,..
CO2 emissions from residential buildings and commercial and public services (% of total fuel combustion),EN.CO2.BLDG.ZS,Colombia,COL,..,..,..,..,..,..,..,..,..,..,..,10.7236595425572,10.6515373352855,10.2930914166085,9.89938331710484,9.22587486744433,8.66089273817455,8.22050290135396,7.54316873674644,7.10218759364699,6.4080459770115,6.7849985685657,6.53705269089884,6.58458244111349,6.64196877480815,6.76463136559412,6.62350597609562,6.50082140342642,6.3602599814299,7.62881998661611,8.03844473569244,7.97558922558922,7.86653185035389,7.94168425091118,7.16887099865823,7.10743801652893,8.00220750551876,7.58655804480652,8.05527468823728,9.19054028071525,8.82407236477755,7.87113307706388,9.25537992763283,9.35570987654321,8.52414854723879,8.54956132163524,9.99068033550792,9.75164353542732,9.45702984537936,8.40250719972895,8.17140009965122,8.25814344701025,8.09691765066708,8.67786087201919,7.90344827586207,..,..,..,..,..,..,..
CO2 emissions from solid fuel consumption (% of total),EN.ATM.CO2E.SF.ZS,Colombia,COL,40.7374301675978,39.5128824476651,39.6642776310826,38.6751768155943,35.5236486486486,31.4532927415478,27.3365579653612,32.2255192878338,29.9379738111647,30.383056608707,20.4621740253034,21.4510278113664,21.2696563774024,23.0685527747552,22.7985524728589,24.4764531617121,24.2225859247136,23.9377562430116,23.7617665171109,25.3528101015103,23.2390873015873,24.0019795447047,23.9517610414504,24.5680385613645,24.5114921015198,25.2558174789661,24.5407020164302,24.7094712376525,23.9476996224304,24.378315078873,28.4368870241506,24.5626650850138,25.7055252772035,25.4875564718537,24.1412457912458,23.9540907551642,21.2791928632116,19.341276930335,18.252036199095,17.347200644353,17.579177258674,17.6399231557377,16.4342424242424,18.5902891824348,12.9603859836357,17.6859454325678,16.21306999307,13.6172765669877,17.9621883333333,18.7601763024142,20.8465661719233,19.7328765555714,16.4334186939821,16.8807391695591,18.3212177399148,23.6456559299025,23.2470988538682,..,..,..,..,..
CO2 emissions from solid fuel consumption (kt),EN.ATM.CO2E.SF.KT,Colombia,COL,6684.941,7198.321,7711.701,8221.414,7711.701,7198.321,6424.584,7964.724,7964.724,8522.108,5812.195,6505.258,6695.942,7774.04,8316.756,8786.132,9226.172,9420.523,9904.567,11265.024,10307.937,10670.97,10997.333,12148.771,12005.758,12218.444,12049.762,12475.134,12559.475,12977.513,13894.263,12423.796,13677.91,14216.959,13622.905,14147.286,12522.805,12299.118,11697.73,9691.881,10234.597,10329.939,9273.843,10414.28,7286.329,10241.931,9358.184,8060.066,10777.313,11811.407,13483.559,13795.254,11551.05,13131.527,14623.996,19160.075,19471.77,..,..,..,..,..
CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,Colombia,COL,..,..,..,..,..,..,..,..,..,..,..,25.3468316460442,26.0980966325037,26.8318213538032,27.9130152547874,32.8738069989396,33.0446369087275,33.2688588007737,33.383823083914,34.462091699131,33.8505747126437,34.1826510163184,35.193012116089,35.0374732334047,35.7237364382112,35.3432987078794,35.4083665338645,34.3816005632481,36.8384401114206,36.1588222172652,35.64875491481,35.9217171717172,36.4206268958544,35.0469978898907,32.6241134751773,37.3370064279155,38.392200147167,37.1350984385608,36.0802157061004,36.7044799077101,34.2809673250877,35.6580633351638,32.9080175204723,34.2399691358025,38.9840292476429,38.1930184804928,39.9068033550792,39.9744338933528,40.0934915498022,35.4734880569202,36.0571333665504,40.3578528827038,42.6314982364668,40.2144772117962,41.2,..,..,..,..,..,..,..
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Colombia,COL,..,..,..,..,..,..,..,..,..,..,..,414.78854078373,400.374322233779,432.712754129165,472.334768860572,454.343316835859,469.438886428543,512.904187733344,568.16616394654,607.304466583737,637.274210583681,634.260051276143,659.352218560617,664.062076918574,720.358471158557,755.1952686761,809.322659114428,785.115326395541,804.6186904013,851.482786858149,871.593984140627,871.192435833907,778.70425007222,872.80962627972,910.288879061365,920.47436457616,911.092011203789,917.749464442914,894.268727439805,827.729239793733,845.597516929425,865.909134042177,873.26441602488,876.412886434516,912.183735921561,909.216014329109,961.04477080235,988.579322939083,988.453907506709,1065.60765267456,1094.56094161916,1139.6598632141,1170.07393112742,1310.6646984185,1312.1994929878,..,..,..,..,..,..,..
Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,Colombia,COL,..,..,..,..,..,..,..,..,..,..,..,13.1139537154575,12.5866818656787,12.4451707233164,12.1945561398082,10.3704276544737,11.2432511308916,10.2051517336305,9.35322236940621,8.28729281767956,7.90863738628583,8.29282379554315,8.41222612929402,6.93734992359747,9.78492923222899,11.7008983486786,10.2922188243289,9.70251135028733,9.89337210711257,10.0915070060051,10.1988612921858,10.2811570694782,14.1725352112676,11.2814128997121,8.5512811224613,10.0032774604364,4.31945020986117,6.8669431678063,5.96699111299196,4.56541030311522,5.10376811594203,5.43713457023157,5.12410638959194,6.29122709009261,4.0145618375269,4.90494069968413,5.45894169069097,6.29798638273215,5.41313597196897,7.41220318815727,6.89115508885299,3.77018277190394,5.47178286117617,8.992484666993,10.1781460826404,11.8521523682571,..,..,..,..,..,..
