Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,Colombia,COL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,57300,57330,58360,59460,60590,61000,61960,61750,62500,61180,62020,63470,64160,65690,66890,67430,68160,70310,71450,72210,74190,71900,70020,70260,70510,71200,71920,74540,76700,..,..,..
Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,Colombia,COL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17930,17930,17920,18250,18540,18520,18260,18270,18610,17960,18450,18950,19250,19940,20180,20580,21050,22560,21740,21950,22460,21700,21230,19770,20320,19790,19890,21080,21720,..,..,..
Nitrous oxide emissions (% change from 1990),EN.ATM.NOXE.ZG,Colombia,COL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-1.37777160551291,-0.553062062292742,3.0801466896397,-1.11940127674317,0.953665791188563,2.91441120408509,3.21230776743924,0.848822072426092,-6.1114578770902,3.3989509523686,-0.210297881302268,1.01959371914397,3.25717538507555,6.26391621048712,4.85882724593711,10.6475129757455,16.2681740558342,17.9743644135696,24.7791338108021,23.7593874807138,24.9969813555209,26.2345752303281,..,..,..,..,..,..,..,..,..
Other greenhouse gas emissions (% change from 1990),EN.ATM.GHGO.ZG,Colombia,COL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-5.52144299757812,0.208095897094052,9.94377563915576,-22.3419687334461,-14.4837673739226,-11.5301103712149,-10.7282715383196,-56.3119424278856,-66.0721483342914,-49.6081003610305,-65.5168516304142,-78.6149756727048,-46.5754135338985,-27.945221089582,-77.3865918795126,-81.6795085931935,-41.0406266100195,-74.4386619219193,-76.4680809622146,-93.0840881286083,-93.0840881286091,-93.0840881286088,..,..,..,..,..,..,..,..,..
"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,Colombia,COL,..,..,..,..,..,..,..,..,..,..,43948.6437109375,29489.8635984375,36647.860109375,29772.2001824219,30667.014828125,41352.6112195312,47890.7974351562,36862.5570515625,44608.2443023437,47213.4168582031,50478.536375,45761.2318789062,48275.9916855469,49184.7983710937,38833.0983632812,41027.6259238281,43556.8409140625,51069.0262539062,44844.1161953125,42920.3329570312,-2817.185546875,-2769.728515625,-2133.3974609375,-2770.32080078131,-1768.130859375,-1829.99462890631,-1205.2978515625,-1414.7138671875,-2026.3232421875,-1917.25732421881,-1704.9345703125,-818.606933593808,-394.326660156308,-127.134277343808,107.7431640625,-358.111816406308,854.039550781192,897.183105468692,1373.8232421875,1381.6884765625,4098.5498046875,2509.60888671871,5022.60888671871,7585.8623046875,8138.6318359375,7665.5966796875,11462.40625,..,..,..,..,..
Total greenhouse gas emissions (% change from 1990),EN.ATM.GHGT.ZG,Colombia,COL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-1.32426679061685,2.33767560937121,8.24655395479037,-2.34013723508902,2.69796174122157,5.18692234186697,7.83553941080264,-5.19804925709048,-14.2411762343793,-5.66324032411509,-11.8054041807373,-15.0022279920354,-6.54610212978332,0.121428733988771,-13.63506985326,-13.1024131541113,1.51215838685888,-3.98335938721127,-1.42486095789478,-4.41583203131318,-2.40678758501518,-0.564903872838529,..,..,..,..,..,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Colombia,COL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,124290,126050,129720,133730,135820,138850,139460,144130,145830,135760,139710,142190,141230,143240,145070,147790,149020,154390,155750,159900,164350,166910,165340,172010,175230,176980,180940,177470,184100,..,..,..
Urban land area (sq. km),AG.LND.TOTL.UR.K2,Colombia,COL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,36132.13672,..,..,..,..,..,..,..,..,..,36132.13672,..,..,..,..,..,..,..,..,..,36132.13672,..,..,..,..,..,..,..,..,..,..,..
Urban population,SP.URB.TOTL,Colombia,COL,7429583,7903180,8399973,8917948,9456005,9890673,10331431,10782082,11240398,11702014,12165234,12628086,13091727,13559135,14030528,14512942,15011680,15524762,16052405,16593238,17145846,17710015,18286700,18874694,19472124,20077483,20656601,21228793,21808614,22398270,22999996,23613613,24238651,24870588,25506164,26142216,26777679,27410870,28043541,28676309,29309133,29941978,30573545,31200435,31817836,32422511,33015425,33597407,34166609,34720224,35257425,35769913,36262053,36759801,37299404,37904385,38592067,39346013,40115208,40827302,41431388,..
Urban population (% of total population),SP.URB.TOTL.IN.ZS,Colombia,COL,46.268,47.702,49.143,50.584,52.027,52.82,53.587,54.352,55.117,55.877,56.635,57.39,58.143,58.89,59.607,60.306,61.003,61.693,62.379,63.061,63.738,64.408,65.073,65.733,66.387,67.034,67.566,68.051,68.532,69.008,69.481,69.949,70.415,70.874,71.328,71.777,72.223,72.662,73.098,73.53,73.957,74.379,74.797,75.211,75.62,76.024,76.423,76.816,77.204,77.587,77.964,78.335,78.701,79.061,79.415,79.764,80.108,80.446,80.778,81.104,81.425,..
Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,Colombia,COL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14.16,14.8069558212089,14.8069558212089,14.80696,16.90938,16.90938568
Rural population (% of total population),SP.RUR.TOTL.ZS,Colombia,COL,53.732,52.298,50.857,49.416,47.973,47.18,46.413,45.648,44.883,44.123,43.365,42.61,41.857,41.11,40.393,39.694,38.997,38.307,37.621,36.939,36.262,35.592,34.927,34.267,33.613,32.966,32.434,31.949,31.468,30.992,30.519,30.051,29.585,29.126,28.672,28.223,27.777,27.338,26.902,26.47,26.043,25.621,25.203,24.789,24.38,23.976,23.577,23.184,22.796,22.413,22.036,21.665,21.299,20.939,20.585,20.236,19.892,19.554,19.222,18.896,18.575,..
Rural population,SP.RUR.TOTL,Colombia,COL,8628131,8664637,8692946,8712030,8719182,8834569,8948303,9055426,9153306,9240439,9314830,9375897,9424702,9465377,9507862,9552560,9596422,9639782,9681264,9719758,9754662,9786593,9815124,9839489,9859106,9873711,9915878,9966624,10013913,10059227,10102573,10144715,10183917,10220684,10252814,10279222,10298708,10312933,10320766,10323159,10320832,10313978,10301818,10283437,10258117,10225220,10185476,10140105,10088363,10029830,9965274,9892834,9813668,9735691,9668302,9616282,9582981,9563831,9545848,9512141,9451496,..
Population density (people per sq. km of land area),EN.POP.DNST,Colombia,COL,..,14.9326876971609,15.405965750338,15.8900207300586,16.3814213609734,16.8771897251014,17.3769571879225,17.879682739973,18.3809860297431,18.8755772870662,19.3601297881929,19.8323415953132,20.2942127084272,20.7521514195584,21.215313204146,21.6904028841821,22.1794520054078,22.6809770166742,23.1939333032898,23.7160847228481,24.245613339342,24.7828823794502,25.3283677332132,25.8802911221271,26.4364398377648,26.9952176656151,27.5551861198738,28.1166444344299,28.681863001352,29.2541658404687,29.8355736818387,30.4266137899955,31.0252978819288,31.6280054078414,32.2298134294727,32.8268931951329,33.4172032447048,34.0007237494367,34.5780144209103,35.150489409644,35.7187607030194,36.2829707075259,36.8412465074358,37.389699864804,37.9233465525011,38.4386940063091,38.9372699414151,39.4209211356467,39.8873114015322,40.3335322217215,40.7595304191077,41.1561487156377,41.5283650292925,41.9067075259126,42.332317260027,42.8307048219919,43.4205029292474,44.0827796304642,44.7598521856692,45.3712870662461,45.8610941865705,..
Permanent cropland (% of land area),AG.LND.CROP.ZS,Colombia,COL,..,1.29607931500676,1.29788192879676,1.30058584948175,1.30238846327174,1.30509238395674,1.30689499774673,1.30959891843173,1.31140153222172,1.31410545290671,1.31410545290671,1.33483551149166,1.33393420459667,1.33393420459667,1.33393420459667,1.33393420459667,1.33393420459667,1.33393420459667,1.33393420459667,1.33393420459667,1.33393420459667,1.33393420459667,1.33393420459667,1.33393420459667,1.33573681838666,1.33844073907165,1.34294727354664,1.34655250112663,1.40694006309148,1.46732762505633,1.52771518702118,1.58900405588103,1.64939161784588,1.70977917981073,1.75754844524561,1.83055430374042,1.49887336638125,1.54844524560613,1.64578639026589,1.64758900405588,1.55655700766111,1.53312302839117,1.37449301487156,1.33844073907165,1.32492113564669,1.43037404236142,1.3201442091032,1.41685443893646,1.47003154574132,1.42316358720144,1.43307796304642,1.64308246958089,1.68995042812078,1.59170797656602,1.65299684542587,1.71428571428571,1.77557458314556,3.49076160432627,3.48895899053628,..,..,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 05/25/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
