Name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
El Encanto,275.8944901586435,304.0085733605,156.19804073041132,235.84623530615713,212.54744061580882,236.1852307050638,133.93953608273975,385.5268491119983,140.25821153181488,480.07325082569804,305.56024486804444,295.77088825863115,264.3092720926681,394.92691182011623,292.06481837715893,1220.081101514438,512.5942379253312,301.1589656719851,333.39427447514555,581.6299775194354,404.4703716805492
La Chorrera,284.8634487843712,290.83423915939034,268.3947064539771,275.42774473740525,277.120406933139,344.29828088043814,32.87505448608399,647.3885113980881,113.77463946071249,495.15825189130004,449.1091246858246,206.97243965497188,263.77668315329163,715.6357406360103,318.72295911688116,870.7004755043898,638.3985994936953,355.6189216865809,348.2436758503274,3226.1156151185996,512.9138009122722
La Pedrera,121.2866037475586,81.15790888061524,58.36624825776941,64.17218745117188,57.288486505126954,85.4414703125,74.03072499392043,60.14952184448242,124.58526576516545,170.0466304959645,69.13705455327053,205.74943305020204,203.43181898691216,188.73971661836512,97.46790286953795,205.67458906800516,209.78408209601906,235.6609151923445,133.5259205532897,391.4451953342812,107.61247563476563
Leticia,177.61005812722598,79.81615957031251,124.58271325683594,112.94621361938476,188.2784884670123,142.18808839123295,148.0912199247712,90.09923940570907,234.57810138437307,190.33221291041954,174.93472827380612,306.95831765208527,222.33595727247052,222.34024924764,227.6598514837766,305.4459587129242,327.7513826164216,198.82945252218812,226.83001637003582,357.6002280244236,111.3371482326373
Miriti Parana,125.48846808612899,170.47793171302948,144.88550907973345,188.8843102026846,170.43987579115924,78.36480414974437,107.7651068006568,116.74155092773438,215.52534586049998,325.42000035381244,48.00074807739258,298.09925986639286,215.63945561410944,274.39315739360734,216.69005462818822,387.0479096999943,383.260301043749,248.3742523960727,250.32040062890147,412.1692320606187,156.57963508111692
Puerto Narino,62.62538594970703,27.030995013427734,18.269854860887715,34.52399310913086,75.75026661223767,58.3893082377834,64.79232797025793,33.364422460937504,104.47402443471871,87.64601338903091,129.69471759251016,224.4625015834674,162.8974623865225,225.88379420357498,152.71418003748278,216.5291531876388,168.77722515986423,106.17214384768019,169.26731636974858,289.6210550148399,60.7113080289953
Puerto Santander,27.499676757381664,44.86615875957415,74.46406783447266,43.79819046688305,48.68609843812232,18.670095491033816,4.1120407653808595,77.15851875957414,24.13497873748181,83.63160847866881,67.4931055259555,52.0013585085162,27.322133041106586,194.58063725569184,28.361505646254596,77.58906108132754,60.07096000306374,69.57950916956284,52.300831365799255,141.0095129967783,52.507080901118265
Tarapaca,119.64228548481064,105.14182595688764,70.92719815460804,97.7458080945303,148.6875028053912,135.02707168579101,139.50854817945293,82.2220217261221,213.6507879005103,181.50506169727998,100.96097749573951,290.12356258698105,213.83661602998623,432.2851031825645,396.0473729296875,262.7806169261977,484.454253594875,174.73292078972312,223.49750899770697,540.7403320890538,144.90370356225105
Abejorral,175.2395349071069,62.532442067153035,42.43469789309034,75.69511332397461,43.28647426798503,90.2848056321088,55.97550021565756,81.01277984188305,77.6909357343367,54.75821974915748,107.59626344185625,91.16329522013346,31.726526154019226,49.204717776573034,33.536843878173826,113.85036802145565,216.9784518461818,226.41993829455805,210.1757066975672,178.01264668370865,141.81509647329293
Abriaqui,24.7792819519043,11.457252447509767,13.589234625244142,14.477431134033203,19.749855958467375,39.080460266113285,26.32656746740005,41.12234530029297,81.41555179163316,24.683182033021218,27.11117401000977,57.13210264313342,14.846724677734375,19.067556591126685,27.179241998291015,48.31499948713714,230.91868448543772,59.14458745605469,143.60973170166017,50.88076638834636,39.43319190063477
Alejandria,5.414362343606388,11.747281311035156,10.979237021053539,17.708097851801853,21.77056434326172,38.38745146484375,9.152453845214843,16.111598550474877,23.416240254145606,19.549579974365237,19.148858675608917,42.73436264825559,0.5331873474121094,21.17076254368202,3.5546385375976564,48.254836706542974,35.40630598769244,11.90769887084961,5.065168481445313,0.4443071655273438,1.2440477783203125
Amaga,9.24717872314453,8.002594537353517,10.492499407958984,13.337338360595703,13.884732536884384,23.449037702253754,11.11438641357422,12.246260099451401,12.003114386967678,12.62043439766678,16.494411866143917,12.919954965724573,3.289953076171875,9.95797138671875,2.490702632960899,23.941076044132007,28.466186214288452,8.980536206054689,30.40905853881836,9.602875250244141,14.458822238889208
Amalfi,297.44259620627014,222.33495581219844,157.90283095669616,576.1184117533367,416.44737241397644,833.0663551776005,440.2119617777267,426.7381147829542,472.0605075965792,518.8434420505658,543.8505643404613,728.6448700771198,247.4408036300121,346.89697203507967,196.37723798476276,609.9180803177179,1309.330318605861,722.340193577115,671.6659541158041,823.388514482398,909.6608952989288
Andes,52.478476011292706,69.85330190664254,36.79027632451077,102.13186045254577,64.57775838682886,148.17315128173823,70.63519231028839,88.58944792356004,149.7955532887418,63.09433447169884,205.4949984766104,104.74915695896523,67.57045774567248,84.40749810415231,63.43765576171875,273.46287634930775,627.5151833491549,293.660292815827,209.40340891479488,208.00150749356143,88.13615116000307
Angelopolis,17.42504471435547,13.686435207591337,10.846005834960938,28.537705981445313,20.092076574707033,12.788136496653838,12.446136755371095,12.357248303222656,19.953029242134843,6.045266583251953,26.24620886302275,10.223596112060548,2.4934419710047107,5.956413922119141,2.667529855789484,3.3152083584893917,29.196239977524698,14.224257684326172,1.6891456726074219,3.555906951904297,1.8669719177246096
