Cod_depto,,5,8,11,13,15,17,18,19,20,27,23,25,41,44,47,50,52,54,63,66,68,70,73,76,*
Year,COLOMBIA,Antioquia,Atlántico,Bogotá D.C.,Bolívar,Boyacá,Caldas,Caquetá,Cauca,Cesar,Chocó,Córdoba,Cundinamarca,Huila,La Guajira,Magdalena,Meta,Nariño,Norte de Santander,Quindío,Risaralda,Santander,Sucre,Tolima,Valle del Cauca,Nuevos departamentos
2009,"501,574","71,309","20,809","130,672","16,432","13,261","8,364","1,904","7,646","10,335","2,104","8,473","29,327","8,587","6,792","6,857","16,836","7,418","8,302","4,018","7,969","28,494","3,879","11,432","51,607","18,745"
2010,"544,060","75,982","21,443","139,740","18,363","14,475","8,822","1,972","8,503","10,891","2,903","9,011","31,676","9,562","6,931","7,270","23,608","7,704","8,698","4,281","8,420","32,726","4,011","11,965","54,213","20,891"
2011,"619,023","85,578","23,549","152,691","21,489","17,260","9,343","2,166","9,290","13,247","3,652","9,758","35,465","11,263","8,080","7,761","35,741","8,553","9,408","4,767","8,980","37,784","4,473","13,518","58,465","26,742"
2012,"666,507","92,318","26,445","164,542","23,078","18,314","9,748","2,554","10,373","13,975","3,555","10,779","38,214","11,690","8,473","8,480","39,466","9,343","9,897","5,242","9,629","40,283","4,994","14,387","62,545","28,182"
2013,"714,093","98,573","29,112","177,361","25,859","19,380","10,498","2,836","11,624","13,383","3,080","11,697","40,742","12,414","8,188","9,319","42,214","10,149","10,747","5,460","10,613","43,409","5,480","15,275","66,719","29,961"
2014,"762,903","106,819","32,383","191,026","26,623","20,839","11,519","3,175","13,086","13,654","3,145","12,913","43,759","13,383","8,361","9,550","37,364","10,991","11,643","5,720","11,728","50,858","6,089","16,560","72,279","29,437"
2015,"804,692","115,446","35,716","206,478","28,105","22,165","12,514","3,350","14,622","14,570","3,571","13,657","48,055","13,805","8,666","10,514","30,712","12,230","12,534","6,381","12,656","51,999","6,577","17,381","78,074","24,914"
2016,"863,782","126,022","38,575","221,456","30,918","23,671","13,798","3,666","16,070","16,992","4,222","14,662","53,516","14,693","9,442","11,692","26,335","13,893","13,811","7,133","13,891","55,182","7,186","18,863","85,102","22,992"
2017,"920,471","132,369","40,875","236,786","33,394","24,782","14,749","3,866","16,739","19,551","3,958","15,793","55,731","15,222","10,785","12,422","30,239","14,062","14,445","7,633","14,922","59,463","7,702","19,988","89,766","25,230"
2018,"987,791","141,680","43,369","253,941","35,410","26,884","15,711","4,072","17,479","21,263","3,777","16,800","59,085","15,989","11,882","13,233","35,331","14,835","15,443","7,951","15,877","63,776","8,123","21,002","95,894","28,985"
2019,"1,060,068","153,558","46,575","273,524","38,285","28,574","17,012","4,313","18,755","20,725","4,168","18,279","63,112","17,198","11,225","14,148","38,496","15,907","16,289","8,533","17,078","69,125","8,697","22,526","103,173","30,793"
2020p,"998,719","148,387","44,588","260,207","34,634","26,484","16,860","4,160","18,192","17,555","4,425","17,922","61,266","16,620","8,435","13,604","31,442","15,652","15,740","8,245","16,501","61,971","8,372","21,522","99,700","26,236"
